2018,California,Dale K. Mensing,republican,72576,315657,,,,,,,,,,,
2018,Alabama,Robert Kennedy Jr.,democrat,89226,242617,,,,,,,,,,,
2018,Alabama,Bradley Byrne,republican,153228,242617,,,,,,,,,,,
2018,Alabama,NA,NA,163,242617,,,,,,,,,,,
2018,Alabama,Martha Roby,republican,138879,226230,,,,,,,,,,,
2018,Alabama,Tabitha Isner,democrat,86931,226230,,,,,,,,,,,
2018,Alabama,NA,NA,420,226230,,,,,,,,,,,
2018,Alabama,Mike Rogers,republican,147770,231915,,,,,,,,,,,
2018,Alabama,Mallory Hagan,democrat,83996,231915,,,,,,,,,,,
2018,Alabama,NA,NA,149,231915,,,,,,,,,,,
2018,Alabama,Robert Aderholt,republican,184255,230969,,,,,,,,,,,
2018,Alabama,Lee Auman,democrat,46492,230969,,,,,,,,,,,
2018,Alabama,NA,NA,222,230969,,,,,,,,,,,
2018,Alabama,Mo Brooks,republican,159063,260673,,,,,,,,,,,
2018,Alabama,Peter Joffrion,democrat,101388,260673,,,,,,,,,,,1
2018,Alabama,NA,NA,222,260673,,,,,,,,,,,
2018,Alabama,Gary Palmer,republican,192542,278328,,,,,,,,,,,
2018,Alabama,Danner Kline,democrat,85644,278328,,,,,,,,,,,
2018,Alabama,NA,NA,142,278328,,,,,,,,,,,
2018,Alabama,Terri Sewell,democrat,185010,189163,,,,,,,,,,,
2018,Alabama,NA,NA,4153,189163,,,,,,,,,,,
2018,Alaska,Alyse S. Galvin,democrat,131199,282166,,,,,,,,,,,
2018,Alaska,Don Young,republican,149779,282166,,,,,,,,,,,
2018,Alaska,NA,NA,1188,282166,,,,,,,,,,,
2018,Arizona,Wendy Rogers,republican,122784,266089,,,,,,,,,,,
2018,Arizona,Tom O'Halleran,democrat,143240,266089,,,,,,,,,,,
2018,Arizona,NA,NA,65,266089,,,,,,,,,,,
2018,Arizona,Lea Marquez Peterson,republican,133083,294152,,,,,,,,,,,
2018,Arizona,Ann Kirkpatrick,democrat,161000,294152,,,,,,,,,,,
2018,Arizona,NA,NA,69,294152,,,,,,,,,,,
2018,Arizona,"Nicolas """"Nick"""" Pierson",republican,64868,179518,,,,,,,,,,,
2018,Arizona,Raul Grijalva,democrat,114650,179518,,,,,,,,,,,
2018,Arizona,Paul Gosar,republican,188842,277035,,,,,,,,,,,
2018,Arizona,David Brill,democrat,84521,277035,,,,,,,,,,,
2018,Arizona,Haryaksha Gregor Knauer,green,3672,277035,,,,,,,,,,,
2018,Arizona,Andy Biggs,republican,186037,313064,,,,,,,,,,,
2018,Arizona,Joan Greene,democrat,127027,313064,,,,,,,,,,,
2018,Arizona,David Schweikert,republican,173140,313699,,,,,,,,,,,
2018,Arizona,Anita Malik,democrat,140559,313699,,,,,,,,,,,
2018,Arizona,Ruben Gallego,democrat,113044,132051,,,,,,,,,,,
2018,Arizona,Gary Swing,green,18706,132051,,,,,,,,,,,
2018,Arizona,NA,NA,301,132051,,,,,,,,,,,
2018,Arizona,Debbie Lesko,republican,168835,304417,,,,,,,,,,,
2018,Arizona,Hiral Tipirneni,democrat,135569,304417,,,,,,,,,,,
2018,Arizona,Steven Hummel,NA,0,304417,,,,,,,,,,,
2018,Arizona,Stephen L Ferrara,republican,101662,261245,,,,,,,,,,,
2018,Arizona,Greg Stanton,democrat,159583,261245,,,,,,,,,,,
2018,Arkansas,Rick Crawford,republican,138757,201245,,,,,,,,,,,
2018,Arkansas,Chintan Desai,democrat,57907,201245,,,,,,,,,,,
2018,Arkansas,Elvis Presley,libertarian,4581,201245,,,,,,,,,,,
